code,material,description,source
G1,Plastic,Six pack rings,Food
G2,None,None,None
G3,Plastic,Shopping bags,Household
G4,Plastic,Freezer bags,Household
G5,Plastic,Generic plastic bags,Household
G6,None,None,None
G7,Plastic,Drink bottles < 0.5l,Food
G8,Plastic,Drink bottles  > 0.5l,Food
G9,Plastic,Cleaner bottles,Household
G10,Plastic,Food containers,Food
G11,Plastic,Cosmetics for the beach,Medical
G12,Plastic,Other cosmetics,Medical
G13,Plastic,Other bottles,Household
G14,Plastic,Engine oil bottles,Industry
G15,Plastic,Engine oil bottles > 50cm,Industry
G16,Plastic,Jerry cans,Industry
G17,Plastic,Injection gun cartridge,Industry
G18,Plastic,Crates/baskets,Industry
G19,Plastic,Car parts,Industry
G20,None,None,None
G21,Plastic,Drink lids,Food
G22,Plastic,Lids for chemicals,Household
G23,Plastic,Lids unidentified,Household
G24,Plastic,Plastic rings from lids,Food
G25,Plastic,Tobacco wrappers,Tobaco
G26,Plastic,Cigarette lighters,Tobaco
G27,Plastic,Cigarette butts,Tobaco
G28,Plastic,Pens and lids,Household
G29,Plastic,Combs and brushes,Personal effects
G30,Plastic,Candy and snack wrappers,Food
G31,Plastic,Lollypop sticks,Food
G32,Plastic,Toys and fireworks,Recreation
G33,Plastic,Cups and cup lids,Food
G34,Plastic,Cutlery and trays,Food
G35,Plastic,Straws and stirrers,Food
G36,Plastic,Feed bags,Industry
G37,Plastic,Mesh bags,Household
G38,None,None,None
G39,None,None,None
G40,Plastic,Gloves household,Household
G41,Plastic,Glove industrial,Industry
G42,Plastic,Crab lobster pots,Fishing
G43,Plastic,Tags fishing or industry,Fishing
G44,Plastic,Octopus pots,Fishing
G45,Plastic,Mussel nets,Fishing
G46,Plastic,Oyster trays,Fishing
G47,Plastic,Sheeting from mussel culture,Fishing
G48,None,None,None
G49,Plastic,Rope > 1cm,Industry
G50,Plastic,String < 1cm,Household
G51,None,None,None
G52,Plastic,Nets and pieces,Fishing
G53,Plastic,Nets and pieces < 50cm,Fishing
G54,Plastic,Nets and pieces > 50cm,Fishing
G55,None,None,None
G56,Plastic,Tangled nets,Fishing
G57,Plastic,Fish boxes,Fishing
G58,Plastic,Foam fish box,Fishing
G59,Plastic,Fishing line,Recreation
G60,Plastic,Light sticks,Recreation
G61,None,None,None
G62,Plastic,Floats for nets,Fishing
G63,Plastic,Buoys,Fishing
G64,Plastic,Fenders,Industry
G65,Plastic,Buckets,Industry
G66,Plastic,Strapping bands,Industry
G67,Plastic,Industrial sheeting,Industry
G68,Plastic,Fiberglass fragments,Fishing
G69,Plastic,Helmets or hardhats,Construction
G70,Plastic,Shotgun cartridges,Recreation
G71,Plastic,Shoes sandals,Personal effects
G72,Plastic,Traffic cones,Other
G73,Plastic,Foam sponge,Household
G74,None,None,None
G75,None,None,None
G76,Plastic,Plastic or polystyrene 2.5 > < 50cm,Fragmented
G77,Plastic,Plastic or polystyrene  > 50cm,Fragmented
G78,None,None,None
G79,Plastic,Plastic pieces 2.5 > < 50cm,Fragmented
G80,Plastic,Plastic pieces > 50cm,Fragmented
G81,None,None,None
